platform,ad_format,objective,audience_size,daily_budget,creative_quality,days_running,retargeting,day_of_week,ctr,cpc,roas
Meta,video,traffic,medium,1085.18,1,9,1,1,0.0394,2.36,4.14
Google,image,traffic,broad,150.79,5,17,0,0,0.0209,2.18,2.91
Meta,video,conversions,medium,359.15,4,21,0,5,0.0357,2.34,4.35
Meta,video,conversions,narrow,1634.75,3,60,1,0,0.056,2.98,6.77
Google,image,traffic,medium,308.58,3,13,0,3,0.0193,2.78,2.74
Meta,video,traffic,narrow,505.12,5,3,0,1,0.0452,2.22,5.18
Meta,image,traffic,medium,934.07,4,68,1,6,0.0434,1.48,6.32
Google,image,conversions,medium,1058.39,2,4,0,3,0.0204,2.6,1.98
Meta,video,traffic,medium,1539.04,5,7,0,6,0.0391,2.06,4.95
Google,video,conversions,medium,922.3,3,26,0,0,0.029,2.92,3.15
Google,image,conversions,narrow,1590.24,4,75,0,1,0.0352,3.38,4.32
Meta,video,conversions,medium,1255.78,1,24,0,4,0.0327,2.0,3.66
Meta,image,conversions,broad,270.54,4,10,0,1,0.0335,2.13,3.24
Meta,image,conversions,medium,354.85,4,13,1,1,0.0391,2.56,5.39
Meta,carousel,conversions,medium,902.22,3,44,0,6,0.0297,2.15,3.96
Meta,image,conversions,broad,823.93,3,39,1,4,0.04,2.42,4.48
Google,image,conversions,broad,1499.91,2,19,0,2,0.0193,3.22,2.78
Meta,image,traffic,narrow,1182.44,2,51,0,2,0.0235,1.87,2.09
Meta,video,conversions,narrow,806.86,5,19,0,2,0.0555,2.86,6.61
Google,video,conversions,broad,382.98,1,76,1,0,0.0245,2.59,4.7
Meta,carousel,awareness,broad,492.33,2,52,1,1,0.0359,1.65,3.73
Google,image,conversions,broad,1172.23,3,86,1,5,0.0247,3.05,4.16
Meta,carousel,traffic,broad,875.71,4,47,0,4,0.0374,2.03,2.75
Meta,carousel,conversions,medium,1054.11,5,30,1,5,0.0403,2.0,5.9
Google,carousel,conversions,medium,382.82,2,46,1,0,0.0398,3.03,4.32
Google,carousel,traffic,narrow,1342.67,4,76,0,4,0.0316,2.85,4.01
Google,image,traffic,narrow,1712.45,4,21,0,5,0.0272,3.06,3.93
Google,video,awareness,medium,552.98,2,75,0,6,0.0259,1.38,2.96
Google,image,traffic,medium,1008.45,1,48,1,0,0.0272,3.23,2.44
Meta,video,awareness,medium,1952.28,1,62,0,0,0.0225,2.25,2.17
Meta,image,conversions,broad,699.82,5,58,1,0,0.0379,1.98,5.69
Google,image,conversions,narrow,1210.34,1,18,0,4,0.0272,3.23,1.98
Google,image,conversions,medium,225.88,5,59,0,5,0.0215,2.72,3.22
Google,video,conversions,narrow,1231.73,3,48,0,5,0.0351,3.78,5.16
Meta,video,traffic,medium,224.78,2,63,0,3,0.0452,1.0,3.71
Meta,image,traffic,broad,1920.51,4,12,0,0,0.0202,2.03,2.05
Google,video,conversions,medium,1445.54,5,87,0,2,0.0437,3.76,5.21
Meta,carousel,awareness,broad,1586.91,1,34,1,1,0.0261,1.64,2.49
Google,video,awareness,narrow,1423.0,5,61,0,6,0.0425,3.15,3.91
Google,video,conversions,medium,1199.97,5,87,0,6,0.0413,3.82,4.34
Meta,video,conversions,medium,927.33,1,53,0,3,0.0366,2.47,4.26
Google,image,conversions,medium,1723.83,1,25,0,3,0.017,3.35,1.68
Google,image,conversions,broad,1915.83,2,62,0,4,0.0279,3.53,1.08
Meta,video,conversions,medium,1023.12,4,4,0,3,0.0371,2.19,5.03
Google,video,traffic,broad,1866.49,2,13,0,5,0.0232,3.25,1.63
Meta,image,conversions,narrow,1187.5,2,42,0,4,0.0332,2.64,2.65
Google,video,conversions,broad,1099.85,1,49,1,4,0.0274,2.54,3.95
Meta,image,awareness,narrow,936.24,1,78,0,6,0.0236,2.06,2.75
Google,image,traffic,broad,458.11,4,56,0,6,0.0208,2.15,2.6
Meta,video,awareness,medium,57.25,5,47,0,2,0.0368,1.43,5.31
Meta,video,conversions,medium,520.94,2,8,0,0,0.0462,2.08,3.43
Google,carousel,conversions,medium,1043.96,4,55,1,3,0.0358,3.47,5.05
Meta,image,traffic,broad,790.92,2,88,0,0,0.0249,1.95,1.85
Meta,image,conversions,narrow,924.55,5,18,0,0,0.0453,2.76,4.08
Google,video,conversions,medium,1962.26,2,35,1,0,0.0389,3.39,5.24
Google,image,traffic,broad,733.03,3,89,0,4,0.0127,2.2,2.24
Meta,video,traffic,medium,931.76,4,81,1,0,0.0422,1.13,6.01
Google,image,conversions,narrow,310.36,1,32,1,3,0.0314,3.33,4.35
Meta,carousel,conversions,medium,143.52,2,24,0,4,0.0201,2.28,2.44
Meta,video,conversions,medium,1562.05,4,7,0,3,0.035,2.44,3.85
Meta,video,conversions,broad,1162.83,4,13,0,4,0.0296,2.19,4.05
Google,video,conversions,broad,1533.37,2,69,0,1,0.0327,3.4,3.64
Google,video,conversions,medium,342.23,1,42,0,1,0.0291,2.88,3.64
Google,video,conversions,broad,1165.07,1,31,0,1,0.0269,3.66,2.68
Google,video,awareness,medium,544.6,2,74,1,1,0.0379,2.83,4.32
Meta,carousel,traffic,narrow,494.72,4,26,0,4,0.0378,2.34,3.77
Meta,image,traffic,narrow,72.48,1,86,1,0,0.0423,2.15,4.4
Meta,video,conversions,medium,304.16,2,76,1,2,0.0409,1.7,5.19
Meta,carousel,conversions,narrow,653.07,2,32,1,6,0.0455,2.79,5.24
Meta,video,conversions,broad,277.91,2,52,0,5,0.0347,2.2,2.88
Google,carousel,conversions,broad,1972.42,4,20,0,2,0.0204,3.57,2.64
Meta,video,conversions,narrow,651.83,1,40,1,1,0.0625,2.74,6.64
Meta,carousel,traffic,medium,304.13,4,59,1,0,0.0411,1.73,5.42
Meta,image,traffic,broad,438.21,3,77,1,3,0.0327,2.44,3.63
Google,carousel,traffic,broad,1196.02,1,14,1,0,0.0303,2.64,2.52
Google,carousel,conversions,broad,174.88,4,44,0,3,0.0316,3.13,2.73
Meta,video,awareness,medium,1731.75,1,86,0,2,0.0272,1.88,2.71
Meta,carousel,conversions,broad,1924.92,3,82,0,0,0.0297,2.81,3.81
Google,video,conversions,medium,531.16,5,48,1,0,0.0405,3.24,6.45
Meta,video,conversions,medium,927.69,2,43,0,5,0.0312,2.39,4.93
Google,video,traffic,narrow,93.16,4,16,1,2,0.0496,3.23,6.03
Google,image,awareness,narrow,1299.38,3,35,1,0,0.0382,2.82,4.5
Meta,video,conversions,medium,857.16,3,53,1,3,0.0531,2.11,6.47
Meta,image,awareness,narrow,576.61,1,34,0,6,0.0244,2.14,2.15
Google,image,awareness,narrow,453.33,1,3,0,0,0.0131,3.1,0.79
Meta,carousel,conversions,broad,1325.35,2,68,1,3,0.0413,2.45,5.27
Meta,carousel,conversions,narrow,861.62,1,5,0,1,0.0392,3.04,3.51
Google,image,conversions,medium,400.34,4,10,0,0,0.0315,2.72,3.22
Google,video,awareness,medium,1393.76,4,52,0,3,0.0302,2.38,3.55
Google,video,conversions,broad,1151.89,4,29,0,6,0.0372,3.24,4.38
Google,video,traffic,medium,1724.41,5,31,0,2,0.0511,2.79,4.46
Meta,video,conversions,narrow,279.08,4,66,1,1,0.0566,2.65,6.34
Meta,video,traffic,medium,1582.05,1,76,1,0,0.0304,1.97,4.36
Google,video,conversions,broad,1363.36,1,69,1,5,0.0301,3.11,4.08
Meta,carousel,traffic,broad,274.27,4,37,0,3,0.0311,1.56,3.47
Meta,image,awareness,medium,1404.9,3,27,1,6,0.027,1.93,4.62
Google,video,awareness,medium,911.02,3,87,1,5,0.0388,2.48,5.52
Meta,image,awareness,broad,1892.72,3,33,1,0,0.0339,2.01,3.4
Meta,video,conversions,narrow,326.14,2,68,1,3,0.0577,2.38,5.96
Meta,image,traffic,medium,1303.53,5,59,1,0,0.0476,2.15,6.01
Meta,image,conversions,medium,794.86,4,64,0,1,0.0363,2.3,3.83
Meta,image,conversions,narrow,1915.79,2,85,1,6,0.0312,3.65,4.3
Meta,image,traffic,medium,693.45,3,88,0,6,0.0296,1.76,3.3
Meta,carousel,conversions,narrow,1926.26,4,44,0,1,0.0445,2.81,4.3
Google,carousel,traffic,medium,1807.9,2,88,1,0,0.0313,3.64,4.38
Google,image,awareness,broad,577.25,1,49,0,0,0.0023,2.6,0.85
Meta,image,conversions,narrow,1616.91,3,53,0,4,0.0311,3.18,3.96
Google,image,traffic,broad,1991.43,2,74,1,0,0.0182,3.08,2.77
Meta,video,conversions,narrow,542.69,1,49,1,6,0.0369,2.75,6.16
Meta,video,conversions,medium,901.72,3,66,0,0,0.037,2.43,4.5
Google,video,conversions,narrow,1064.35,5,63,1,5,0.05,3.19,6.71
Meta,image,awareness,broad,625.12,3,25,0,5,0.0351,1.8,2.08
Google,image,awareness,broad,79.77,5,4,0,1,0.0222,1.93,2.54
Meta,video,awareness,medium,479.25,5,51,0,5,0.0455,1.59,4.09
Google,carousel,awareness,broad,599.78,5,11,0,0,0.0182,2.26,2.99
Meta,carousel,conversions,medium,915.02,4,17,0,2,0.0323,2.38,2.86
Google,image,conversions,broad,383.65,4,66,0,0,0.0245,3.02,3.08
Meta,image,traffic,broad,1752.85,5,70,1,6,0.0335,2.17,5.23
Google,carousel,conversions,broad,1424.58,1,73,1,4,0.0259,3.31,3.63
Meta,video,conversions,medium,216.14,5,69,1,3,0.0519,1.88,6.69
Meta,carousel,conversions,narrow,1317.68,2,84,1,6,0.0438,2.72,5.83
Google,video,traffic,medium,1324.63,5,29,0,1,0.0433,2.97,3.39
Meta,carousel,traffic,narrow,1914.63,4,85,1,5,0.0489,2.79,5.58
Google,video,conversions,medium,55.89,4,73,1,2,0.0474,2.47,6.48
Google,carousel,conversions,medium,533.47,2,72,0,6,0.0267,2.5,3.07
Meta,carousel,traffic,medium,1859.19,2,20,0,3,0.0281,1.84,1.87
Google,video,traffic,narrow,1867.66,3,27,1,2,0.0436,3.57,5.51
Meta,image,conversions,narrow,1455.14,1,8,1,1,0.0374,3.2,4.5
Google,carousel,traffic,medium,1543.24,1,85,1,5,0.0278,2.49,3.6
Meta,image,conversions,broad,228.39,1,61,0,4,0.0258,2.16,3.19
Meta,carousel,conversions,medium,1052.06,4,28,0,6,0.0406,2.87,4.45
Google,image,traffic,medium,501.59,1,87,0,6,0.0128,2.58,1.98
Google,video,traffic,broad,403.38,3,70,1,6,0.0388,2.85,4.49
Meta,video,conversions,medium,1630.09,3,3,0,1,0.036,2.79,4.28
Google,video,traffic,narrow,313.32,1,69,0,2,0.0282,2.52,2.85
Meta,carousel,traffic,medium,963.87,2,73,0,2,0.0226,1.73,1.81
Meta,video,traffic,narrow,1880.23,3,7,1,1,0.0481,2.47,5.56
Meta,image,traffic,broad,412.37,2,60,0,6,0.0257,1.65,2.24
Meta,image,traffic,narrow,1957.09,4,4,0,0,0.0345,2.76,3.65
Meta,image,conversions,medium,1988.86,3,5,1,1,0.0397,2.72,4.81
Meta,carousel,conversions,narrow,1133.45,2,11,1,5,0.0378,1.86,4.76
Google,carousel,conversions,narrow,381.78,1,15,0,5,0.0255,2.92,2.84
Google,image,conversions,broad,666.4,4,64,0,4,0.0228,2.34,2.59
Google,carousel,traffic,narrow,877.76,5,13,1,1,0.0409,3.02,5.82
Meta,carousel,traffic,narrow,653.18,5,7,0,3,0.0401,2.17,3.89
Meta,image,conversions,medium,597.24,1,6,1,5,0.0309,2.26,4.12
Google,carousel,conversions,narrow,1945.85,4,56,1,5,0.0464,3.5,6.02
Google,video,conversions,narrow,349.06,4,64,0,5,0.0416,3.51,5.08
Meta,video,conversions,broad,1479.99,4,50,1,0,0.0422,2.66,5.19
Google,carousel,traffic,broad,50.8,4,30,1,3,0.031,1.94,4.41
Google,image,conversions,broad,1212.56,5,22,0,6,0.0274,2.72,3.58
Google,carousel,traffic,broad,1836.09,2,25,0,6,0.0229,2.85,1.01
Google,carousel,awareness,medium,611.47,4,28,1,1,0.0373,3.02,3.82
Google,video,conversions,narrow,411.78,2,84,0,0,0.0317,3.83,3.67
Meta,carousel,conversions,broad,1320.78,4,39,1,5,0.044,2.57,4.63
Google,image,conversions,broad,1439.57,3,67,1,6,0.0395,3.01,5.42
Google,image,traffic,broad,1391.66,3,5,0,3,0.0216,2.98,2.31
Meta,image,traffic,medium,672.67,3,65,1,6,0.0377,1.57,4.83
Meta,carousel,conversions,narrow,541.79,4,15,1,3,0.0546,2.33,6.1
Meta,video,traffic,broad,1914.04,2,67,0,0,0.0342,1.43,2.87
Google,image,awareness,broad,1850.43,5,40,0,6,0.0284,2.89,3.09
Google,image,conversions,broad,941.77,1,69,1,5,0.0278,2.89,4.44
Meta,image,conversions,narrow,1700.08,5,77,0,0,0.0463,2.94,4.88
Meta,image,awareness,narrow,932.03,4,43,0,2,0.0286,1.49,3.15
Meta,video,traffic,narrow,877.56,3,1,1,5,0.0415,2.21,6.07
Google,video,awareness,broad,355.69,3,22,1,0,0.0358,1.68,3.41
Google,video,traffic,narrow,881.49,2,62,1,1,0.0413,3.29,4.21
Google,carousel,awareness,narrow,1097.96,4,79,0,6,0.0293,3.19,3.16
Meta,video,conversions,broad,93.88,5,26,0,5,0.0441,1.94,4.06
Meta,video,traffic,narrow,916.02,4,18,0,4,0.0327,2.34,4.64
Meta,carousel,awareness,broad,1573.64,4,48,1,5,0.0353,1.68,4.97
Meta,video,traffic,medium,1376.09,3,9,1,2,0.0406,1.93,4.59
Google,carousel,conversions,broad,1288.56,5,1,0,0,0.0218,3.42,3.7
Google,image,conversions,medium,1823.63,1,9,0,4,0.0255,2.42,2.8
Google,carousel,conversions,broad,85.16,3,23,1,2,0.0272,2.69,4.08
Google,video,conversions,broad,1136.24,5,45,0,1,0.0321,3.13,3.94
Meta,video,conversions,narrow,1585.33,2,2,0,5,0.0445,2.82,5.27
Google,image,traffic,narrow,1105.6,3,14,1,6,0.0392,3.47,4.53
Google,carousel,traffic,narrow,681.6,2,38,0,4,0.0205,2.57,2.33
Google,image,conversions,medium,315.69,3,40,1,6,0.0374,2.71,5.41
Meta,video,traffic,broad,1780.75,4,63,1,0,0.0444,1.46,5.6
Meta,carousel,conversions,medium,967.99,5,82,0,0,0.0497,2.74,4.55
Meta,carousel,conversions,medium,1762.32,2,16,0,1,0.031,2.45,2.96
Google,image,conversions,narrow,1192.41,3,75,0,2,0.0293,3.43,4.14
Google,carousel,traffic,broad,1364.67,2,6,1,4,0.0227,2.69,1.75
Meta,carousel,conversions,broad,1618.31,3,3,0,1,0.0253,2.68,2.64
Google,image,conversions,narrow,1335.35,3,14,1,2,0.0359,3.7,5.55
Google,video,conversions,medium,826.21,1,66,1,3,0.0429,3.84,4.3
Meta,image,awareness,narrow,1051.59,1,75,1,3,0.0351,2.35,4.92
Meta,video,conversions,medium,1615.94,1,86,0,2,0.0338,2.35,4.29
Google,image,traffic,medium,778.62,2,67,1,0,0.0346,2.37,3.66
Meta,image,traffic,narrow,806.84,4,31,1,0,0.0322,2.02,4.83
Google,video,traffic,medium,236.6,3,33,0,3,0.0344,1.92,2.94
Meta,video,awareness,medium,1833.44,5,88,0,0,0.0393,2.06,5.89
Google,video,conversions,medium,227.52,1,1,0,6,0.0282,3.1,3.49
Meta,carousel,conversions,medium,1314.01,2,44,0,0,0.0249,2.21,3.06
Meta,carousel,awareness,narrow,855.73,2,15,1,2,0.0372,1.91,4.04
Google,video,conversions,broad,840.96,2,37,0,5,0.0284,3.51,2.83
Meta,carousel,traffic,broad,1375.13,5,27,1,2,0.0529,1.48,5.33
Meta,image,traffic,medium,180.83,5,48,1,0,0.046,0.93,4.98
Meta,video,traffic,narrow,1207.73,1,27,1,2,0.0493,1.92,4.89
Google,video,awareness,broad,1555.46,5,12,1,4,0.04,2.3,5.67
Google,image,awareness,broad,1665.01,1,67,0,3,0.008,2.92,0.1
Google,carousel,traffic,narrow,382.53,5,30,1,5,0.0411,2.71,5.66
Meta,image,conversions,medium,1799.97,5,87,0,4,0.0326,2.47,5.23
Meta,video,awareness,narrow,1329.48,5,66,0,4,0.0347,2.64,4.45
Meta,video,conversions,medium,1769.62,1,7,0,0,0.0274,2.32,3.87
Meta,image,conversions,narrow,996.3,3,34,1,0,0.0422,2.93,5.2
Meta,video,awareness,medium,1106.97,1,32,1,4,0.0361,2.29,4.26
Meta,video,conversions,medium,1842.12,3,39,0,4,0.0377,2.42,4.03
Meta,video,conversions,medium,1804.82,2,43,0,1,0.0358,2.76,3.55
Google,carousel,conversions,medium,923.91,2,43,1,1,0.0339,3.0,3.91
Meta,carousel,awareness,medium,585.1,1,78,0,6,0.0191,1.95,2.27
Meta,image,traffic,medium,816.68,3,3,0,3,0.0152,1.27,2.79
Google,carousel,traffic,narrow,806.14,3,46,1,4,0.0361,2.45,4.46
Meta,video,conversions,narrow,609.39,3,32,0,2,0.0381,2.47,3.97
Google,image,traffic,broad,573.73,2,43,0,5,0.0163,2.21,1.63
Google,video,traffic,narrow,1729.07,1,81,0,1,0.0325,3.06,3.0
Google,image,conversions,broad,186.23,4,3,0,0,0.0287,2.79,2.82
Meta,carousel,conversions,broad,1371.34,3,74,0,4,0.0328,2.63,4.27
Google,image,conversions,narrow,387.0,3,63,0,2,0.0293,3.19,2.82
Meta,video,awareness,medium,721.79,4,40,0,5,0.0334,1.47,2.79
Meta,image,traffic,medium,170.01,1,18,0,2,0.0153,1.45,1.25
Meta,video,awareness,broad,576.45,3,67,1,6,0.0325,1.44,5.19
Google,carousel,conversions,broad,1548.42,1,62,1,2,0.033,2.98,3.08
Meta,image,traffic,broad,1775.78,3,10,0,0,0.0211,1.55,1.68
Meta,image,traffic,narrow,481.98,5,52,1,1,0.0408,2.07,6.27
Google,image,traffic,medium,953.92,3,73,0,2,0.0159,2.42,2.47
Meta,image,awareness,medium,967.13,5,46,0,5,0.0267,2.08,3.66
Meta,video,conversions,medium,1753.47,1,55,0,1,0.0312,2.09,3.8
Meta,image,conversions,narrow,1537.46,3,46,0,6,0.0403,2.7,3.91
Meta,video,traffic,narrow,1050.5,2,75,1,6,0.0443,2.76,5.06
Meta,image,traffic,broad,1357.96,2,60,0,3,0.0077,1.63,2.17
Meta,carousel,traffic,medium,1702.34,4,26,0,0,0.0301,1.94,2.39
Google,carousel,conversions,medium,68.6,2,27,1,1,0.0332,2.46,3.15
Meta,image,traffic,medium,835.64,5,38,0,6,0.0299,1.35,3.42
Meta,image,conversions,broad,1819.12,2,22,0,6,0.0199,3.01,2.78
Google,video,conversions,broad,1493.61,2,26,0,1,0.0271,3.3,2.85
Meta,carousel,traffic,narrow,1108.54,2,86,0,2,0.0313,2.27,3.48
Google,video,traffic,narrow,1082.81,3,69,0,5,0.0339,2.52,2.65
Meta,image,conversions,narrow,728.15,4,35,0,2,0.0401,2.73,4.61
Meta,video,conversions,broad,1065.02,1,66,0,5,0.0259,2.67,3.28
Meta,video,conversions,medium,1328.0,4,73,0,6,0.0376,2.74,4.03
Meta,image,conversions,medium,865.81,5,51,1,6,0.0519,2.46,6.66
Meta,video,traffic,medium,1442.6,3,18,1,0,0.0458,1.59,5.04
Meta,image,awareness,medium,1729.4,3,43,1,1,0.0391,2.11,5.93
Meta,video,conversions,broad,351.64,2,12,1,4,0.0471,2.31,3.96
Meta,video,traffic,medium,930.52,2,3,1,6,0.0426,1.24,5.31
Meta,image,awareness,narrow,845.64,5,82,1,5,0.0516,1.82,6.03
Meta,video,awareness,narrow,1390.56,3,7,1,5,0.0411,2.58,4.44
Meta,video,conversions,medium,537.24,1,6,0,2,0.032,2.42,2.83
Meta,image,awareness,broad,1298.49,4,82,1,2,0.0341,1.42,4.89
Google,video,conversions,medium,1761.1,3,45,0,6,0.0404,3.57,4.26
Meta,carousel,conversions,broad,865.36,1,86,1,6,0.0376,2.29,5.13
Google,video,conversions,broad,1826.48,1,39,0,3,0.0198,3.58,2.91
Google,video,conversions,narrow,1986.67,4,51,1,5,0.0529,3.61,5.94
Meta,image,conversions,narrow,256.88,1,9,0,0,0.0298,2.67,3.48
Google,video,conversions,narrow,504.45,5,23,0,1,0.0463,3.6,5.23
Google,video,conversions,broad,1903.24,1,12,0,1,0.0179,3.27,1.74
Meta,video,awareness,narrow,1918.74,5,88,0,1,0.0468,2.48,5.02
Meta,video,awareness,medium,240.53,1,62,0,5,0.0259,1.38,2.33
Google,carousel,conversions,medium,79.25,2,73,0,2,0.0254,3.32,2.67
Google,video,awareness,broad,364.15,1,77,0,0,0.0154,2.37,1.4
Meta,carousel,awareness,narrow,1992.22,5,40,0,1,0.0371,2.22,3.61
Meta,carousel,traffic,medium,401.0,1,54,1,5,0.0379,1.41,4.02
Meta,image,conversions,medium,1029.97,1,81,0,4,0.0177,2.35,2.95
Meta,carousel,traffic,medium,1704.41,1,7,0,6,0.0171,2.24,1.34
Google,video,awareness,broad,89.78,5,17,1,3,0.0407,1.93,5.81
Meta,carousel,traffic,narrow,1228.75,1,50,0,3,0.0241,2.82,2.07
Meta,video,conversions,broad,590.2,4,24,0,1,0.0326,2.27,3.98
Google,image,traffic,medium,1731.55,4,2,0,2,0.0235,2.96,2.62
Meta,image,traffic,medium,602.75,5,83,1,3,0.0335,1.65,5.33
Meta,video,traffic,medium,1389.17,2,33,0,3,0.025,1.92,2.84
Google,image,conversions,medium,1364.73,4,21,0,3,0.0373,3.16,2.17
Google,image,conversions,narrow,481.91,3,74,1,3,0.0423,3.65,5.34
Meta,video,awareness,medium,117.86,4,53,0,1,0.0323,1.53,3.02
Meta,video,awareness,medium,848.04,3,46,1,5,0.0451,1.98,4.55
Meta,image,conversions,medium,613.93,5,45,0,0,0.0378,2.05,3.83
Meta,image,awareness,medium,1627.51,2,9,0,0,0.027,2.05,1.56
Meta,carousel,conversions,broad,1610.71,3,6,1,2,0.0384,2.24,4.38
Meta,carousel,traffic,medium,941.2,3,51,0,5,0.0329,2.15,2.57
Meta,carousel,traffic,narrow,1232.7,4,35,1,6,0.0368,2.02,5.56
Meta,image,awareness,medium,1228.31,3,82,1,4,0.0297,1.77,4.61
Meta,video,awareness,broad,1662.96,5,53,0,0,0.0368,1.9,3.1
Meta,video,conversions,broad,878.75,5,19,1,4,0.0516,2.16,6.45
Meta,carousel,awareness,medium,587.12,5,69,0,0,0.0294,1.89,3.85
Meta,image,conversions,broad,566.82,4,25,1,0,0.0403,2.08,5.07
Meta,video,traffic,narrow,1095.57,2,11,0,2,0.0329,2.65,3.16
Google,video,traffic,medium,925.84,4,74,0,3,0.0296,2.33,3.63
Meta,carousel,traffic,broad,908.24,5,17,0,2,0.0361,1.82,3.63
Google,image,conversions,broad,227.72,4,36,0,0,0.0285,2.64,2.36
Google,image,awareness,medium,1451.28,5,21,0,5,0.021,2.86,2.64
Meta,image,conversions,broad,466.79,1,18,1,3,0.0247,2.14,4.42
Meta,video,conversions,narrow,434.06,1,60,1,5,0.0449,2.48,6.34
Meta,video,traffic,broad,854.88,3,18,0,5,0.0299,2.11,3.3
Meta,video,conversions,medium,494.17,2,1,0,5,0.0307,1.95,3.8
Google,video,awareness,narrow,1188.52,1,14,1,3,0.0432,3.23,4.92
Meta,carousel,conversions,narrow,774.35,5,8,0,5,0.0457,2.4,5.84
Meta,image,conversions,medium,925.38,4,66,0,3,0.034,2.31,4.02
Meta,carousel,awareness,narrow,1097.48,4,51,0,4,0.0307,1.87,3.24
Meta,carousel,traffic,medium,446.89,3,79,0,6,0.0338,1.44,2.99
Google,video,conversions,narrow,353.72,4,60,0,0,0.0269,3.28,6.06
Meta,image,traffic,narrow,1766.82,1,34,1,1,0.0392,2.97,3.09
Meta,image,traffic,medium,895.76,4,36,1,5,0.0427,1.8,4.66
Google,carousel,traffic,medium,853.58,1,62,0,2,0.0148,3.05,0.52
Google,video,conversions,medium,119.44,1,1,1,4,0.0424,2.9,4.43
Meta,image,awareness,broad,1021.05,2,85,0,2,0.0187,1.69,1.51
Meta,image,awareness,broad,1130.63,3,42,0,1,0.0223,2.3,2.17
Meta,video,traffic,broad,1139.74,5,1,0,3,0.0377,1.97,2.79
Meta,video,conversions,medium,1428.71,1,84,0,1,0.0469,2.24,4.17
Meta,image,awareness,broad,396.09,3,54,0,2,0.0287,1.76,3.13
Meta,image,traffic,narrow,541.84,5,47,0,1,0.0405,1.97,4.08
Meta,video,traffic,narrow,1630.92,4,39,0,0,0.0374,1.79,4.34
Meta,image,conversions,medium,1896.98,3,30,0,1,0.0297,2.85,3.21
Google,video,awareness,broad,315.07,3,7,1,5,0.0309,2.72,4.0
Meta,image,traffic,narrow,1020.42,3,22,1,0,0.0451,2.76,4.75
Meta,video,conversions,narrow,467.64,4,50,0,5,0.0467,2.67,5.66
Meta,carousel,conversions,narrow,167.14,4,45,1,6,0.0454,2.38,6.8
Google,video,awareness,broad,684.73,3,74,1,6,0.0354,2.76,3.96
Meta,video,conversions,medium,330.19,2,72,1,1,0.0398,2.35,5.37
Meta,video,awareness,narrow,1434.37,1,10,0,0,0.0338,2.82,3.22
Google,video,traffic,medium,1090.76,4,14,0,0,0.0267,2.61,2.38
Google,image,traffic,medium,330.48,2,46,1,6,0.0271,2.35,2.44
Google,video,conversions,medium,68.02,4,75,0,1,0.0388,2.61,4.58
Meta,carousel,conversions,narrow,1625.91,3,6,0,4,0.0377,3.05,4.03
Meta,video,awareness,broad,393.58,2,21,0,3,0.025,1.15,2.23
Google,video,conversions,medium,1232.12,5,62,1,3,0.049,3.4,6.05
Google,video,traffic,medium,707.0,1,19,1,3,0.0355,2.69,3.2
Meta,video,conversions,narrow,1191.7,1,88,0,0,0.0315,2.93,3.5
Meta,video,conversions,medium,665.52,4,82,0,6,0.0413,2.24,5.28
Meta,image,conversions,medium,219.53,1,62,1,3,0.0396,2.53,3.84
Google,image,traffic,medium,484.75,5,83,0,6,0.0289,2.71,3.16
Meta,image,awareness,narrow,416.71,2,53,0,0,0.0283,1.84,2.44
Meta,image,conversions,broad,884.64,2,24,0,6,0.0262,2.09,1.91
Meta,image,conversions,narrow,1333.65,3,56,1,4,0.0473,2.54,6.28
Meta,video,conversions,medium,564.42,2,62,1,1,0.0478,2.33,5.37
Meta,image,traffic,broad,73.54,4,34,1,6,0.0249,1.22,4.44
Meta,carousel,conversions,medium,1061.93,5,22,0,6,0.0302,2.64,3.34
Google,image,awareness,broad,1231.23,3,68,0,1,0.022,3.07,1.53
Meta,image,traffic,medium,1927.6,4,57,0,0,0.0205,1.81,3.44
Meta,video,traffic,medium,1199.47,4,10,1,0,0.048,1.8,6.75
Meta,carousel,conversions,broad,968.79,4,66,0,6,0.0302,2.3,2.72
Meta,carousel,awareness,narrow,1168.13,1,8,0,4,0.023,2.52,1.9
Meta,image,conversions,medium,1859.41,4,38,1,3,0.0437,3.04,5.68
Meta,carousel,conversions,broad,1665.34,1,62,0,4,0.024,1.99,2.12
Meta,video,traffic,medium,679.81,2,28,0,1,0.0406,1.61,3.57
Meta,video,traffic,medium,512.65,1,10,1,1,0.0339,1.57,3.58
Meta,carousel,conversions,medium,562.14,4,45,0,5,0.0422,1.75,4.32
Google,carousel,conversions,broad,1033.62,5,65,0,3,0.0318,2.96,3.44
Meta,video,traffic,broad,1500.9,5,67,0,6,0.0327,2.08,4.62
Google,video,conversions,medium,1031.28,2,9,0,1,0.033,3.03,2.77
Meta,video,awareness,medium,182.2,4,5,0,5,0.0388,1.09,3.71
Google,video,traffic,broad,1460.98,1,10,1,0,0.0292,3.6,3.39
Google,carousel,conversions,narrow,1621.64,5,12,0,1,0.0403,3.77,3.71
Meta,image,conversions,narrow,614.52,3,82,1,2,0.042,2.62,5.91
Meta,video,conversions,broad,1345.05,4,58,0,3,0.0329,2.07,3.45
Meta,video,traffic,broad,881.85,4,21,0,5,0.0368,1.84,2.94
Meta,video,traffic,broad,1783.78,3,21,0,3,0.0289,1.99,3.09
Google,video,conversions,medium,1698.19,5,65,1,3,0.0476,2.74,5.97
